x-axis,1,2,3,4
second,Ampere,Ampere,Ampere,Volt
-343.5125E-06,+42.3879157E-03,+1.1997485161E+00,-100.5025115E-03,+1.9914648763E+00
-343.1750E-06,+45.5518836E-03,+1.1997485161E+00,-100.0372221E-03,+1.9914648763E+00
-342.8375E-06,+42.3879157E-03,+1.1997485161E+00,-98.9205275E-03,+1.9914648763E+00
-342.5000E-06,+45.5518836E-03,+1.1997485161E+00,-103.0150743E-03,+1.9918929426E+00
-342.1625E-06,+41.4573369E-03,+1.1997485161E+00,-103.4803637E-03,+1.9929203016E+00
-341.8250E-06,+41.4573369E-03,+1.1997485161E+00,-104.5970583E-03,+1.9891533186E+00
-341.4875E-06,+41.4573369E-03,+1.1764840451E+00,-100.5025115E-03,+1.9895813848E+00
-341.1500E-06,+41.4573369E-03,+1.1206493146E+00,-100.5025115E-03,+1.9918929426E+00
-340.8125E-06,+41.4573369E-03,+1.3021121886E+00,-100.5025115E-03,+1.9937764341E+00
-340.4750E-06,+41.4573369E-03,+1.1997485161E+00,-100.9678009E-03,+1.9937764341E+00
-340.1375E-06,+41.4573369E-03,+1.2230129871E+00,-102.5497849E-03,+1.9937764341E+00
-339.8000E-06,+41.4573369E-03,+1.3021121886E+00,-100.5025115E-03,+1.9937764341E+00
-339.4625E-06,+42.3879157E-03,+1.1997485161E+00,-100.0372221E-03,+1.9937764341E+00
-339.1250E-06,+45.5518836E-03,+1.1997485161E+00,-98.4552381E-03,+1.9937764341E+00
-338.7875E-06,+40.5267581E-03,+1.1764840451E+00,-100.9678009E-03,+1.9933483678E+00
-338.4500E-06,+37.3627901E-03,+1.0741203725E+00,-102.0844955E-03,+1.9914648763E+00
-338.1125E-06,+42.3879157E-03,+1.0973848436E+00,-98.9205275E-03,+1.9914648763E+00
-337.7750E-06,+45.5518836E-03,+1.1997485161E+00,-103.0150743E-03,+1.9914648763E+00
-337.4375E-06,+41.4573369E-03,+1.1997485161E+00,-102.5497849E-03,+1.9914648763E+00
