Model,MSO68B
Channel,CH1,,Channel,CH2
Label,,,Label,
Waveform Type,ANALOG,,Waveform Type,ANALOG
Digital Type,None,,Digital Type,None
Horizontal Units,s,,Horizontal Units,s
Sample Interval,1.60000000e-10,,Sample Interval,1.60000000e-10
Record Length,13750,,Record Length,13750
Zero Index,7287.21484375,,Zero Index,7287.21484375
Vertical Units,V,,Vertical Units,V
,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,
yOffset,0.000000,,yOffset,0.000000
yPosition,-2.580000,,yPosition,-3.620000

Labels,,
TIME,CH1,CH2
-1.10803437e-06,-6.48312500e-01,-4.43750000e-01
-1.10787437e-06,-6.51187500e-01,-4.55468750e-01
-1.10771437e-06,-6.50468750e-01,-4.10156250e-01
-1.10755437e-06,-6.46875000e-01,-3.11718750e-01
-1.10739438e-06,-6.38968750e-01,-2.43750000e-01
-1.10723438e-06,-6.28906250e-01,-2.49218750e-01
-1.10707437e-06,-6.15250000e-01,-2.53906250e-01
-1.10691437e-06,-6.00156250e-01,-2.19531250e-01
-1.10675437e-06,-5.83625000e-01,-2.44531250e-01
-1.10659437e-06,-5.67093750e-01,-3.17968750e-01
-1.10643437e-06,-5.51281250e-01,-2.72656250e-01
-1.10627438e-06,-5.34750000e-01,-2.21093750e-01
-1.10611438e-06,-5.19656250e-01,-2.35937500e-01
-1.10595437e-06,-5.03125000e-01,-2.51562500e-01
-1.10579437e-06,-4.85875000e-01,-2.73437500e-01
-1.10563437e-06,-4.67906250e-01,-3.05468750e-01
-1.10547437e-06,-4.49218750e-01,-3.53906250e-01
-1.10531437e-06,-4.30531250e-01,-3.71875000e-01
-1.10515438e-06,-4.11125000e-01,-3.53125000e-01
-1.10499438e-06,-3.92437500e-01,-2.56250000e-01
-1.10483437e-06,-3.75906250e-01,-2.38281250e-01
-1.10467437e-06,-3.61531250e-01,-3.17968750e-01
-1.10451437e-06,-3.50031250e-01,-3.71875000e-01
-1.10435437e-06,-3.40687500e-01,-4.10937500e-01
-1.10419437e-06,-3.33500000e-01,-3.42187500e-01
-1.10403438e-06,-3.29187500e-01,-2.30468750e-01
-1.10387438e-06,-3.27031250e-01,-1.91406250e-01
-1.10371437e-06,-3.25593750e-01,-2.37500000e-01
-1.10355437e-06,-3.26312500e-01,-2.73437500e-01
-1.10339437e-06,-3.26312500e-01,-3.05468750e-01
-1.10323437e-06,-3.27031250e-01,-3.37500000e-01
-1.10307437e-06,-3.27750000e-01,-3.63281250e-01
-1.10291438e-06,-3.27750000e-01,-3.70312500e-01
-1.10275437e-06,-3.27031250e-01,-3.61718750e-01
-1.10259437e-06,-3.25593750e-01,-3.64843750e-01
-1.10243437e-06,-3.22718750e-01,-3.81250000e-01
-1.10227437e-06,-3.18406250e-01,-3.33593750e-01
-1.10211437e-06,-3.14093750e-01,-2.00000000e-01
-1.10195437e-06,-3.09781250e-01,-1.49218750e-01
-1.10179438e-06,-3.06187500e-01,-2.55468750e-01
-1.10163437e-06,-3.03312500e-01,-3.74218750e-01
-1.10147437e-06,-3.03312500e-01,-3.58593750e-01
-1.10131437e-06,-3.04750000e-01,-2.57031250e-01
-1.10115437e-06,-3.09062500e-01,-2.81250000e-01
-1.10099437e-06,-3.14812500e-01,-3.59375000e-01
-1.10083437e-06,-3.21281250e-01,-3.46093750e-01
-1.10067438e-06,-3.28468750e-01,-2.87500000e-01
-1.10051437e-06,-3.34937500e-01,-2.89843750e-01
-1.10035437e-06,-3.41406250e-01,-2.98437500e-01
-1.10019437e-06,-3.47156250e-01,-2.67968750e-01
-1.10003437e-06,-3.53625000e-01,-2.49218750e-01
-1.09987437e-06,-3.60093750e-01,-2.15625000e-01
-1.09971437e-06,-3.69437500e-01,-2.46093750e-01
-1.09955438e-06,-3.80937500e-01,-2.90625000e-01
-1.09939437e-06,-3.94593750e-01,-2.74218750e-01
